285086 imgs, 9169 classes, dev=cuda
class set changed (9170->9169); resuming backbone only, fresh head
resumed from model.pt
ep4 it600/2005 loss 1.475
ep4 it650/2005 loss 1.907
ep4 it700/2005 loss 1.721
ep4 it750/2005 loss 1.740
ep4 it800/2005 loss 1.411
ep4 it850/2005 loss 1.620
ep4 it900/2005 loss 1.670
ep4 it950/2005 loss 1.826
ep4 it1000/2005 loss 1.820
ep4 it1050/2005 loss 1.845
ep4 it1100/2005 loss 1.604
ep4 it1150/2005 loss 1.406
ep4 it1200/2005 loss 1.575
ep4 it1250/2005 loss 1.329
ep4 it1300/2005 loss 1.395
ep4 it1350/2005 loss 1.828
ep4 it1400/2005 loss 1.828
ep4 it1450/2005 loss 1.870
ep4 it1500/2005 loss 1.460
ep4 it1550/2005 loss 1.617
ep4 it1600/2005 loss 1.560
ep4 it1650/2005 loss 1.744
ep4 it1700/2005 loss 1.300
ep4 it1750/2005 loss 1.810
ep4 it1800/2005 loss 1.935
ep4 it1850/2005 loss 1.648
ep4 it1900/2005 loss 1.608
ep4 it1950/2005 loss 1.766
ep4 it2000/2005 loss 1.863
== epoch 4: val acc 0.430
ep5 it0/2005 loss 1.272
ep5 it50/2005 loss 1.175
ep5 it100/2005 loss 1.583
ep5 it150/2005 loss 1.663
ep5 it200/2005 loss 1.454
ep5 it250/2005 loss 1.359
ep5 it300/2005 loss 1.480
ep5 it350/2005 loss 1.382
ep5 it400/2005 loss 1.812
ep5 it450/2005 loss 1.506
ep5 it500/2005 loss 1.454
ep5 it550/2005 loss 1.242
ep5 it600/2005 loss 1.372
ep5 it650/2005 loss 1.529
ep5 it700/2005 loss 1.583
ep5 it750/2005 loss 1.462
ep5 it800/2005 loss 1.397
ep5 it850/2005 loss 1.406
ep5 it900/2005 loss 1.562
ep5 it950/2005 loss 1.330
ep5 it1000/2005 loss 1.451
ep5 it1050/2005 loss 1.634
ep5 it1100/2005 loss 1.523
ep5 it1150/2005 loss 1.416
ep5 it1200/2005 loss 1.661
ep5 it1250/2005 loss 1.553
ep5 it1300/2005 loss 1.299
ep5 it1350/2005 loss 1.550
ep5 it1400/2005 loss 1.455
ep5 it1450/2005 loss 1.692
ep5 it1500/2005 loss 1.658
ep5 it1550/2005 loss 1.514
ep5 it1600/2005 loss 1.396
ep5 it1650/2005 loss 1.350
ep5 it1700/2005 loss 1.607
ep5 it1750/2005 loss 1.459
ep5 it1800/2005 loss 1.608
ep5 it1850/2005 loss 1.424
ep5 it1900/2005 loss 1.626
ep5 it1950/2005 loss 1.606
ep5 it2000/2005 loss 1.812
== epoch 5: val acc 0.444
ep6 it0/2005 loss 1.390
ep6 it50/2005 loss 1.522
ep6 it100/2005 loss 1.272
ep6 it150/2005 loss 1.412
ep6 it200/2005 loss 1.312
ep6 it250/2005 loss 1.197
ep6 it300/2005 loss 1.713
ep6 it350/2005 loss 1.516
ep6 it400/2005 loss 1.212
ep6 it450/2005 loss 1.465
ep6 it500/2005 loss 1.619
ep6 it550/2005 loss 1.445
ep6 it600/2005 loss 1.322
ep6 it650/2005 loss 1.417
ep6 it700/2005 loss 1.276
ep6 it750/2005 loss 1.276
ep6 it800/2005 loss 1.654
ep6 it850/2005 loss 1.232
ep6 it900/2005 loss 1.769
ep6 it950/2005 loss 1.669
ep6 it1000/2005 loss 1.249
ep6 it1050/2005 loss 1.281
ep6 it1100/2005 loss 1.490
ep6 it1150/2005 loss 1.526
ep6 it1200/2005 loss 1.537
ep6 it1250/2005 loss 1.387
ep6 it1300/2005 loss 1.446
ep6 it1350/2005 loss 1.483
ep6 it1400/2005 loss 1.333
ep6 it1450/2005 loss 1.672
ep6 it1500/2005 loss 1.361
ep6 it1550/2005 loss 1.322
ep6 it1600/2005 loss 1.507
ep6 it1650/2005 loss 1.562
ep6 it1700/2005 loss 1.520
